word,type,definition
"ABSTRACT ","a."," That which comprises or concentrates in itself the essential qualities of a larger thing or of several things. Specifically: A summary or an epitome, as of a treatise or book, or of a statement; a brief."
"ABSTRACT ","a."," A state of separation from other things; as, to consider a subject in the abstract, or apart from other associated things."
"ABSTRACT ","a."," An abstract term."
"ABSTRACT ","a."," A powdered solid extract of a vegetable substance mixed with sugar of milk in such proportion that one part of the abstract represents two parts of the original substance."
"ABSTRACTED ","a."," Separated or disconnected; withdrawn; removed; apart."
"ABSTRACTED ","a."," Separated from matter; abstract; ideal."
"ABSTRACTED ","a."," Abstract; abstruse; difficult."
"ABSTRACTED ","a."," Inattentive to surrounding objects; absent in mind."
"ABSTRACTEDLY ","adv."," In an abstracted manner; separately; with absence of mind."
"ABSTRACTEDNESS ","n."," The state of being abstracted; abstract character."
"ABSTRACTER ","n."," One who abstracts, or makes an abstract."
"ABSTRACTION ","a."," The act of abstracting, separating, or withdrawing, or the state of being withdrawn; withdrawal."
"ABSTRACTION ","a."," The act process of leaving out of consideration one or more properties of a complex object so as to attend to others; analysis. Thus, when the mind considers the form of a tree by itself, or the color of the leaves as separate from their size or figure, the act is called abstraction. So, also, when it considers whiteness, softness, virtue, existence, as separate from any particular objects."
"ABSTRACTION ","a."," An idea or notion of an abstract, or theoretical nature; as, to fight for mere abstractions."
"ABSTRACTION ","a."," A separation from worldly objects; a recluse life; as, a hermit's abstraction."
"ABSTRACTION ","a."," Absence or absorption of mind; inattention to present objects."
"ABSTRACTION ","a."," The taking surreptitiously for one's own use part of the property of another; purloining."
"ABSTRACTION ","a."," A separation of volatile parts by the act of distillation."
"ABSTRACTIONAL ","a."," Pertaining to abstraction."
"ABSTRACTIONIST ","n."," An idealist."
"ABSTRACTITIOUS ","a."," Obtained from plants by distillation."
"ABSTRACTIVE ","a."," Having the power of abstracting; of an abstracting nature."
"ABSTRACTIVELY ","adv."," In a abstract manner; separately; in or by itself."
"ABSTRACTIVENESS ","n."," The quality of being abstractive; abstractive property."
"ABSTRACTLY ","adv."," In an abstract state or manner; separately; absolutely; by itself; as, matter abstractly considered."
"ABSTRACTNESS ","n."," The quality of being abstract."
"ABSTRINGE ","v. t."," To unbind."
"ABSTRUDE ","v. t."," To thrust away."
"ABSTRUSE ","a."," Concealed or hidden out of the way."
"ABSTRUSE ","a."," Remote from apprehension; difficult to be comprehended or understood; recondite; as, abstruse learning."
"ABSTRUSELY ","adv."," In an abstruse manner."
"ABSTRUSENESS ","n."," The quality of being abstruse; difficulty of apprehension."
"ABSTRUSION ","n."," The act of thrusting away."
"ABSTRUSITY ","n."," Abstruseness; that which is abstruse."
"ABSUME ","v. t."," To consume gradually; to waste away."
"ABSUMPTION ","n."," Act of wasting away; a consuming; extinction."
"ABSURD ","a."," Contrary to reason or propriety; obviously and fiatly opposed to manifest truth; inconsistent with the plain dictates of common sense; logically contradictory; nonsensical; ridiculous; as, an absurd person, an absurd opinion; an absurd dream."
"ABSURD ","n."," An absurdity."
"ABSURDITIES ","pl. "," of Absurdity"
"ABSURDITY ","n."," The quality of being absurd or inconsistent with obvious truth, reason, or sound judgment."
"ABSURDITY ","n."," That which is absurd; an absurd action; a logical contradiction."
"ABSURDLY ","adv."," In an absurd manner."
"ABSURDNESS ","n."," Absurdity."
"ABUNA ","n."," The Patriarch, or head of the Abyssinian Church."
"ABUNDANCE ","n."," An overflowing fullness; ample sufficiency; great plenty; profusion; copious supply; superfluity; wealth: -- strictly applicable to quantity only, but sometimes used of number."
"ABUNDANT ","a."," Fully sufficient; plentiful; in copious supply; -- followed by in, rarely by with."
"ABUNDANTLY ","adv."," In a sufficient degree; fully; amply; plentifully; in large measure."
"ABURST ","adv."," In a bursting condition."
"ABUSABLE ","a."," That may be abused."
"ABUSAGE ","n."," Abuse."
"ABUSED ","imp. & p. p."," of Abuse"
"ABUSING ","p. pr. & vb. n."," of Abuse"
"ABUSE ","v. t."," To put to a wrong use; to misapply; to misuse; to put to a bad use; to use for a wrong purpose or end; to pervert; as, to abuse inherited gold; to make an excessive use of; as, to abuse one's authority."
"ABUSE ","v. t."," To use ill; to maltreat; to act injuriously to; to punish or to tax excessively; to hurt; as, to abuse prisoners, to abuse one's powers, one's patience."
"ABUSE ","v. t."," To revile; to reproach coarsely; to disparage."
"ABUSE ","v. t."," To dishonor."
"ABUSE ","v. t."," To violate; to ravish."
"ABUSE ","v. t."," To deceive; to impose on."
"ABUSE ","v. t."," Improper treatment or use; application to a wrong or bad purpose; misuse; as, an abuse of our natural powers; an abuse of civil rights, or of privileges or advantages; an abuse of language."
"ABUSE ","v. t."," Physical ill treatment; injury."
"ABUSE ","v. t."," A corrupt practice or custom; offense; crime; fault; as, the abuses in the civil service."
"ABUSE ","v. t."," Vituperative words; coarse, insulting speech; abusive language; virulent condemnation; reviling."
"ABUSE ","v. t."," Violation; rape; as, abuse of a female child."
"ABUSEFUL ","a."," Full of abuse; abusive."
"ABUSER ","n."," One who abuses [in the various senses of the verb]."
"ABUSION ","v. t."," Evil or corrupt usage; abuse; wrong; reproach; deception; cheat."
"ABUSIVE ","a."," Wrongly used; perverted; misapplied."
"ABUSIVE ","a."," Given to misusing; also, full of abuses."
"ABUSIVE ","a."," Practicing abuse; prone to ill treat by coarse, insulting words or by other ill usage; as, an abusive author; an abusive fellow."
"ABUSIVE ","a."," Containing abuse, or serving as the instrument of abuse; vituperative; reproachful; scurrilous."
"ABUSIVE ","a."," Tending to deceive; fraudulent; cheating."
"ABUSIVELY ","adv."," In an abusive manner; rudely; with abusive language."
"ABUSIVENESS ","n."," The quality of being abusive; rudeness of language, or violence to the person."
"ABUTTED ","imp. & p. p."," of Abut"
"ABUTTING ","p. pr. & vb. n."," of Abut"
"ABUT ","v. i."," To project; to terminate or border; to be contiguous; to meet; -- with on, upon, or against; as, his land abuts on the road."
"ABUTILON ","n."," A genus of malvaceous plants of many species, found in the torrid and temperate zones of both continents; -- called also Indian mallow."
"ABUTMENT ","n."," State of abutting."
"ABUTMENT ","n."," That on or against which a body abuts or presses"
"ABUTMENT ","n."," The solid part of a pier or wall, etc., which receives the thrust or lateral pressure of an arch, vault, or strut."
"ABUTMENT ","n."," A fixed point or surface from which resistance or reaction is obtained, as the cylinder head of a steam engine, the fulcrum of a lever, etc."
"ABUTMENT ","n."," In breech-loading firearms, the block behind the barrel which receives the pressure due to recoil."
"ABUTTAL ","n."," The butting or boundary of land, particularly at the end; a headland."
"ABUTTER ","n."," One who, or that which, abuts. Specifically, the owner of a contiguous estate; as, the abutters on a street or a river."
"ABUZZ ","a."," In a buzz; buzzing."
"ABOUGHT ","imp. & p. p."," of Abye"
"ABY ","v. t. & i."," Alt. of Abye"
"ABYE ","v. t. & i."," To pay for; to suffer for; to atone for; to make amends for; to give satisfaction."
"ABYE ","v. t. & i."," To endure; to abide."
"ABYSM ","n."," An abyss; a gulf."
"ABYSMAL ","a."," Pertaining to, or resembling, an abyss; bottomless; unending; profound."
"ABYSMALLY ","adv."," To a fathomless depth; profoundly."
"ABYSS ","n."," A bottomless or unfathomed depth, gulf, or chasm; hence, any deep, immeasurable, and, specifically, hell, or the bottomless pit."
"ABYSS ","n."," Infinite time; a vast intellectual or moral depth."
"ABYSS ","n."," The center of an escutcheon."
"ABYSSAL ","a."," Belonging to, or resembling, an abyss; unfathomable."
"ABYSSINIAN ","a."," Of or pertaining to Abyssinia."
"ABYSSINIAN ","n."," A native of Abyssinia."
"ABYSSINIAN ","n."," A member of the Abyssinian Church."
"ACACIA ","n."," A roll or bag, filled with dust, borne by Byzantine emperors, as a memento of mortality. It is represented on medals."
"ACACIAS ","pl. "," of Acacia"
"ACACIAE ","pl. "," of Acacia"
"ACACIA ","n."," A genus of leguminous trees and shrubs. Nearly 300 species are Australian or Polynesian, and have terete or vertically compressed leaf stalks, instead of the bipinnate leaves of the much fewer species of America, Africa, etc. Very few are found in temperate climates."
"ACACIA ","n."," The inspissated juice of several species of acacia; -- called also gum acacia, and gum arabic."
"ACACIN ","n."," Alt. of Acacine"
"ACACINE ","n."," Gum arabic."
"ACADEME ","n."," An academy."
"ACADEMIAL ","a."," Academic."
"ACADEMIAN ","n."," A member of an academy, university, or college."
"ACADEMIC ","a."," Alt. of Academical"
"ACADEMICAL ","a."," Belonging to the school or philosophy of Plato; as, the Academic sect or philosophy."
"ACADEMICAL ","a."," Belonging to an academy or other higher institution of learning; scholarly; literary or classical, in distinction from scientific."
"ACADEMIC ","n."," One holding the philosophy of Socrates and Plato; a Platonist."
"ACADEMIC ","n."," A member of an academy, college, or university; an academician."
"ACADEMICALLY ","adv."," In an academical manner."
"ACADEMICALS ","n. pl."," The articles of dress prescribed and worn at some colleges and universities."
"ACADEMICIAN ","n."," A member of an academy, or society for promoting science, art, or literature, as of the French Academy, or the Royal Academy of arts."
"ACADEMICIAN ","n."," A collegian."
"ACADEMICISM ","n."," A tenet of the Academic philosophy."
"ACADEMICISM ","n."," A mannerism or mode peculiar to an academy."
"ACADEMISM ","n."," The doctrines of the Academic philosophy."
"ACADEMIST ","n."," An Academic philosopher."
"ACADEMIST ","n."," An academician."
"ACADEMIES ","pl. "," of Academy"
"ACADEMY ","n."," A garden or grove near Athens (so named from the hero Academus), where Plato and his followers held their philosophical conferences; hence, the school of philosophy of which Plato was head."
"ACADEMY ","n."," An institution for the study of higher learning; a college or a university. Popularly, a school, or seminary of learning, holding a rank between a college and a common school."
"ACADEMY ","n."," A place of training; a school."
"ACADEMY ","n."," A society of learned men united for the advancement of the arts and sciences, and literature, or some particular art or science; as, the French Academy; the American Academy of Arts and Sciences; academies of literature and philology."
"ACADEMY ","n."," A school or place of training in which some special art is taught; as, the military academy at West Point; a riding academy; the Academy of Music."
"ACADIAN ","a."," Of or pertaining to Acadie, or Nova Scotia."
"ACADIAN ","n."," A native of Acadie."
"ACAJOU ","n."," The cashew tree; also, its fruit. See Cashew."
"ACAJOU ","n."," The mahogany tree; also, its timber."
"ACALEPHS ","pl. "," of Acalephan"
"ACALEPHANS ","pl. "," of Acalephan"
"ACALEPH ","n."," Alt. of Acalephan"
"ACALEPHAN ","n."," One of the Acalephae."
"ACALEPHAE ","n. pl."," A group of Coelenterata, including the Medusae or jellyfishes, and hydroids; -- so called from the stinging power they possess. Sometimes called sea nettles."
"ACALEPHOID ","a."," Belonging to or resembling the Acalephae or jellyfishes."
"ACALYCINE ","a."," Alt. of Acalysinous"
"ACALYSINOUS ","a."," Without a calyx, or outer floral envelope."
"ACANTH ","n."," Same as Acanthus."
"ACANTHA ","n."," A prickle."
"ACANTHA ","n."," A spine or prickly fin."
"ACANTHA ","n."," The vertebral column; the spinous process of a vertebra."
"ACANTHACEOUS ","a."," Armed with prickles, as a plant."
"ACANTHACEOUS ","a."," Of, pertaining to, or resembling, the family of plants of which the acanthus is the type."
"ACANTHINE ","a."," Of, pertaining to, or resembling, the plant acanthus."
"ACANTHOCARPOUS ","a."," Having the fruit covered with spines."
"ACANTHOCEPHALA ","n. pl."," A group of intestinal worms, having the proboscis armed with recurved spines."
"ACANTHOCEPHALOUS ","a."," Having a spiny head, as one of the Acanthocephala."
"ACANTHOPHOROUS ","a."," Spine-bearing."
"ACANTHOPODIOUS ","a."," Having spinous petioles."
"ACANTHOPTERI ","n. pl."," A group of teleostean fishes having spiny fins. See Acanthopterygii."
"ACANTHOPTEROUS ","a."," Spiny-winged."
"ACANTHOPTEROUS ","a."," Acanthopterygious."
"ACANTHOPTERYGIAN ","a."," Belonging to the order of fishes having spinose fins, as the perch."
"ACANTHOPTERYGIAN ","n."," A spiny-finned fish."
"ACANTHOPTERYGII ","n. pl."," An order of fishes having some of the rays of the dorsal, ventral, and anal fins unarticulated and spinelike, as the perch."
"ACANTHOPTERYGIOUS ","a."," Having fins in which the rays are hard and spinelike; spiny-finned."
"ACANTHUSES ","pl. "," of Acanthus"
"ACANTHI ","pl. "," of Acanthus"
"ACANTHUS ","n."," A genus of herbaceous prickly plants, found in the south of Europe, Asia Minor, and India; bear's-breech."
"ACANTHUS ","n."," An ornament resembling the foliage or leaves of the acanthus (Acanthus spinosus); -- used in the capitals of the Corinthian and Composite orders."
"A CAPPELLA ",""," In church or chapel style; -- said of compositions sung in the old church style, without instrumental accompaniment; as, a mass a capella, i. e., a mass purely vocal."
"A CAPPELLA ",""," A time indication, equivalent to alla breve."
"ACAPSULAR ","a."," Having no capsule."
"ACARDIAC ","a."," Without a heart; as, an acardiac fetus."
"ACARIDAN ","n."," One of a group of arachnids, including the mites and ticks."
"ACARINA ","n. pl."," The group of Arachnida which includes the mites and ticks. Many species are parasitic, and cause diseases like the itch and mange."
"ACARINE ","a."," Of or caused by acari or mites; as, acarine diseases."
"ACAROID ","a."," Shaped like or resembling a mite."
"ACARPELLOUS ","a."," Having no carpels."
"ACARPOUS ","a."," Not producing fruit; unfruitful."
"ACARI ","pl. "," of Acarus"
"ACARUS ","n."," A genus including many species of small mites."
"ACATALECTIC ","a."," Not defective; complete; as, an acatalectic verse."
"ACATALECTIC ","n."," A verse which has the complete number of feet and syllables."
"ACATALEPSY ","n."," Incomprehensibility of things; the doctrine held by the ancient Skeptic philosophers, that human knowledge never amounts to certainty, but only to probability."
"ACATALEPTIC ","a."," Incapable of being comprehended; incomprehensible."
"ACATER ","n."," See Caterer."
"ACATES ","n. pl."," See Cates."
"ACAUDATE ","a."," Tailless."
"ACAULESCENT ","a."," Having no stem or caulis, or only a very short one concealed in the ground."
"ACAULINE ","a."," Same as Acaulescent."
"ACAULOSE ","a."," Alt. of Acaulous"
"ACAULOUS ","a."," Same as Acaulescent."
"ACCADIAN ","a."," Pertaining to a race supposed to have lived in Babylonia before the Assyrian conquest."
"ACCEDED ","imp. & p. p."," of Accede"
"ACCEDING ","p. pr. & vb. n."," of Accede"
"ACCEDE ","v. i."," To approach; to come forward; -- opposed to recede."
"ACCEDE ","v. i."," To enter upon an office or dignity; to attain."
"ACCEDE ","v. i."," To become a party by associating one's self with others; to give one's adhesion. Hence, to agree or assent to a proposal or a view; as, he acceded to my request."
"ACCEDENCE ","n."," The act of acceding."
"ACCEDER ","n."," One who accedes."
"ACCELERANDO ","a."," Gradually accelerating the movement."
"ACCELERATED ","imp. & p. p."," of Accelerate"
"ACCELERATING ","p. pr. & vb. n."," of Accelerate"
"ACCELERATE ","v. t."," To cause to move faster; to quicken the motion of; to add to the speed of; -- opposed to retard."
"ACCELERATE ","v. t."," To quicken the natural or ordinary progression or process of; as, to accelerate the growth of a plant, the increase of wealth, etc."
"ACCELERATE ","v. t."," To hasten, as the occurence of an event; as, to accelerate our departure."
"ACCELERATION ","n."," The act of accelerating, or the state of being accelerated; increase of motion or action; as, a falling body moves toward the earth with an acceleration of velocity; -- opposed to retardation."
"ACCELERATIVE ","a."," Relating to acceleration; adding to velocity; quickening."
"ACCELERATOR ","n."," One who, or that which, accelerates. Also as an adj.; as, accelerator nerves."
"ACCELERATORY ","a."," Accelerative."
"ACCELEROGRAPH ","n."," An apparatus for studying the combustion of powder in guns, etc."
"ACCELEROMETER ","n."," An apparatus for measuring the velocity imparted by gunpowder."
"ACCEND ","v. t."," To set on fire; to kindle."
"ACCENDIBILITY ","n."," Capacity of being kindled, or of becoming inflamed; inflammability."
"ACCENDIBLE ","a."," Capable of being inflamed or kindled; combustible; inflammable."
"ACCENSION ","n."," The act of kindling or the state of being kindled; ignition."
"ACCENSOR ","n."," One of the functionaries who light and trim the tapers."
"ACCENT ","n."," A superior force of voice or of articulative effort upon some particular syllable of a word or a phrase, distinguishing it from the others."
"ACCENT ","n."," A mark or character used in writing, and serving to regulate the pronunciation; esp.: (a) a mark to indicate the nature and place of the spoken accent; (b) a mark to indicate the quality of sound of the vowel marked; as, the French accents."
"ACCENT ","n."," Modulation of the voice in speaking; manner of speaking or pronouncing; peculiar or characteristic modification of the voice; tone; as, a foreign accent; a French or a German accent."
"ACCENT ","n."," A word; a significant tone"
"ACCENT ","n."," expressions in general; speech."
"ACCENT ","n."," Stress laid on certain syllables of a verse."
"ACCENT ","n."," A regularly recurring stress upon the tone to mark the beginning, and, more feebly, the third part of the measure."
"ACCENT ","n."," A special emphasis of a tone, even in the weaker part of the measure."
"ACCENT ","n."," The rhythmical accent, which marks phrases and sections of a period."
"ACCENT ","n."," The expressive emphasis and shading of a passage."
"ACCENT ","n."," A mark placed at the right hand of a letter, and a little above it, to distinguish magnitudes of a similar kind expressed by the same letter, but differing in value, as y', y''."
"ACCENT ","n."," A mark at the right hand of a number, indicating minutes of a degree, seconds, etc.; as, 12'27'', i. e., twelve minutes twenty seven seconds."
"ACCENT ","n."," A mark used to denote feet and inches; as, 6' 10'' is six feet ten inches."
"ACCENTED ","imp. & p. p."," of Accent"
"ACCENTING ","p. pr. & vb. n."," of Accent"
"ACCENT ","v. t."," To express the accent of (either by the voice or by a mark); to utter or to mark with accent."
"ACCENT ","v. t."," To mark emphatically; to emphasize."
"ACCENTLESS ","a."," Without accent."
"ACCENTOR ","n."," One who sings the leading part; the director or leader."
"ACCENTOR ","n."," A genus of European birds (so named from their sweet notes), including the hedge warbler. In America sometimes applied to the water thrushes."
"ACCENTUABLE ","a."," Capable of being accented."
"ACCENTUAL ","a."," Of or pertaining to accent; characterized or formed by accent."
"ACCENTUALITY ","n."," The quality of being accentual."
"ACCENTUALLY ","adv."," In an accentual manner; in accordance with accent."
"ACCENTUATED ","imp. & p. p."," of Accentuate"
"ACCENTUATING ","p. pr. & vb. n."," of Accentuate"
"ACCENTUATE ","v. t."," To pronounce with an accent or with accents."
"ACCENTUATE ","v. t."," To bring out distinctly; to make prominent; to emphasize."
"ACCENTUATE ","v. t."," To mark with the written accent."
"ACCENTUATION ","n."," Act of accentuating; applications of accent."
"ACCENTUATION ","n."," pitch or modulation of the voice in reciting portions of the liturgy."
"ACCEPTED ","imp. & p. p."," of Accept"
"ACCEPTING ","p. pr. & vb. n."," of Accept"
"ACCEPT ","v. t."," To receive with a consenting mind (something offered); as, to accept a gift; -- often followed by of."
"ACCEPT ","v. t."," To receive with favor; to approve."
